# f[kHz], R[Ohm], L[µH], C[nF], Z[Ohm] , Phi[°]
   1  ,  4.310, 25.99, 8.530, 18660  , -90
   1.5,  4.311, 25.99, 8.530, 12440  , -90
   2  ,  4.311, 26   , 8.529,  9329  , -90
   2.5,  4.311, 25.97, 8.529,  7464  , -90
   3  ,  4.312, 25.96, 8.530,  6220  , -90
   3.5,  4.312, 25.95, 8.530,  5331  , -90
   4  ,  4.312, 25.95, 8.530,  4665  , -90
   4.5,  4.313, 25.95, 8.529,  4146  , -90
   5  ,  4.313, 25.95, 8.530,  3732  , -90
   5.5,  4.314, 25.95, 8.530,  3392  , -90
   6  ,  4.314, 25.95, 8.530,  3110  , -90
   6.5,  4.315, 25.95, 8.530,  2870  , -90
   7  ,  4.315, 25.94, 8.530,  2665  , -90
   7.5,  4.316, 25.95, 8.530,  2488  , -90
   8  ,  4.317, 25.95, 8.531,  2332  , -90
   8.5,  4.317, 25.95, 8.531,  2195  , -90
   9  ,  4.318, 25.95, 8.531,  2073  , -90
   9.5,  4.319, 25.95, 8.531,  1964  , -90
  10  ,  4.320, 25.94, 8.531,  1866  , -90
  20  ,  4.347, 25.93, 8.538,   932  , -89.9
 100  ,  5.178, 26.24, 8.781,   181.2, -89.4
